geo,geo_label,time,PC_ACT
AT,Austria,2020Q3,5.7
BE,Belgium,2020Q3,6.3
BG,Bulgaria,2020Q3,5.2
CH,Switzerland,2020Q3,5.1
CY,Cyprus,2020Q3,8.1
CZ,Czechia,2020Q3,2.7
DE,Germany (until 1990 former territory of the FRG),2020Q3,3.6
DK,Denmark,2020Q3,6.3
EA19,Euro area - 19 countries  (from 2015),2020Q3,8.3
EE,Estonia,2020Q3,8.0
EL,Greece,2020Q3,16.5
ES,Spain,2020Q3,16.1
EU15,European Union - 15 countries (1995-2004),2020Q3,
EU27_2020,European Union - 27 countries (from 2020),2020Q3,7.4
EU28,European Union - 28 countries (2013-2020),2020Q3,
FI,Finland,2020Q3,8.5
FR,France,2020Q3,8.6
FX,France (metropolitan),2020Q3,8.4
HR,Croatia,2020Q3,8.0
HU,Hungary,2020Q3,4.4
IE,Ireland,2020Q3,6.5
IS,Iceland,2020Q3,5.8
IT,Italy,2020Q3,10.3
LT,Lithuania,2020Q3,9.7
LU,Luxembourg,2020Q3,7.7
LV,Latvia,2020Q3,8.3
ME,Montenegro,2020Q3,19.4
MK,North Macedonia,2020Q3,16.5
MT,Malta,2020Q3,4.7
NL,Netherlands,2020Q3,4.2
NO,Norway,2020Q3,4.8
PL,Poland,2020Q3,3.2
PT,Portugal,2020Q3,7.7
RO,Romania,2020Q3,5.2
RS,Serbia,2020Q3,9.0
SE,Sweden,2020Q3,8.9
SI,Slovenia,2020Q3,5.1
SK,Slovakia,2020Q3,7.0
TR,Turkey,2020Q3,13.4
UK,United Kingdom,2020Q3,4.6
